## 1. 変換表（ピナクル → 日本式）
==============================================
ピナクル値,日本式表記
0.00,0
0.05,0.1
0.10,0.2
0.15,0.3
0.20,0.4
0.25,0.5
0.30,0.6
0.35,0.7
0.40,0.8
0.45,0.9
0.50,0半
0.55,0半1
0.60,0半2
0.65,0半3
0.70,0半4
0.75,0半5
0.80,0半6
0.85,0半7
0.90,0半8
0.95,0半9
1.00,1
1.05,1.1
1.10,1.2
1.15,1.3
1.20,1.4
1.25,1.5
1.30,1.6
1.35,1.7
1.40,1.8
1.45,1.9
1.50,1半
1.55,1半1
1.60,1半2
1.65,1半3
1.70,1半4
1.75,1半5
1.80,1半6
1.85,1半7
1.90,1半8
1.95,1半9
2.00,2
2.05,2.1
2.10,2.2
2.15,2.3
2.20,2.4
2.25,2.5
2.30,2.6
2.35,2.7
2.40,2.8
2.45,2.9
2.50,2半
2.55,2半1
2.60,2半2
2.65,2半3
2.70,2半4
2.75,2半5
2.80,2半6
2.85,2半7
2.90,2半8
2.95,2半9
3.00,3
3.05,3.1
3.10,3.2
3.15,3.3
3.20,3.4
3.25,3.5
3.30,3.6
3.35,3.7
3.40,3.8
3.45,3.9
3.50,3半
3.55,3半1
3.60,3半2
3.65,3半3
3.70,3半4
3.75,3半5
3.80,3半6
3.85,3半7
3.90,3半8
3.95,3半9
4.00,4
